Question,Answer,Predictive Answer
give an example of the many sukarno era monuments in the city,the west irian liberation statue is one of the many sukarno era monuments in the city,the west irian liberation statue is one of the many sukarno era monuments in the city 
what resembles that of the similarlysized cougar in the americas,the leopards ecological role,the leopards ecological role 
where is harvesting wild turtles legal,florida,florida 
when did he die,1908,1908 
did lincoln start his political career in 1832,yes,yes 
does a classical lyre have a fingerboard,yes,yes 
is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism,yes,yes 
how many municipalities does antwerp have,none antwerp is a municipality,six 
what contributes to frequent flooding in jakarta,jakarta lies on a plain eight meters approximately eight meters above the sea level,jakarta lies on a plain eight meters above the sea level 
how are isabelline penguins different from most penguins,because they are born with brown rather than black plumage,because they are born with brown rather than black plumage 
is french descendant of the latin language,yes,yes 
what is a trumpet constructed of,brass tubing bent twice into an oblong shape,brass tubing bent twice into an oblong shape 
how many different names did chinese writings give to the panda,20,20 
how many species of otter are there,13,78 million 
did the us join the league of nations,no,no 
who is the head of state of ghana,john agyekum kufuor,john agyekum kufuor 
are upright pianos called vertical pianos,yes,yes 
what did cleveland die from,a heart attack,a heart attack 
in what language was his 1811 paper published,french,french 
who did newton see as the master creator,god,god 
where is the city of antwerp,antwerp is in belgium,antwerp is in belgium 
over how many languages are spoken in london,over 300 languages are spoken in london,over 300 languages are spoken in london 
how tall were the tallest prehistoric penguins,180 meters,180 meters 
what is the official name of jakarta,daerah khusus,daerah khusus 
what percentage of the words in turkish vocabulary have turkish origins,86 of the turkish vocabulary have turkish origins,a luthier 
where did the expression a sitting duck come from,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what is the smallest suborder of turtles,pleurodira,pleurodira 
what was built to play in both b and a keys,piccolo trumpets,piccolo trumpets 
did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,no 
what drives sea otter almost to extinction,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
did webster write i can now sleep of nights,yes,yes 
what important electrical unit was named in honor of volta,volt,the volt 
what unrelated water birds are ducks sometimes confused with,loons or divers grebes gallinules and coots,loons or divers grebes gallinules and coots 
how many civilians died in the 1998 us embassy bombing,over two hundred,over two hundred 
have cymbals been used historically to suggest bacchanal,yes,yes 
what will a giraffe use to clean off any bugs that appear on its face,extremely long tongue,extremely long tongue 
what did alessandro volta invent in 1800,voltaic pile,in 1451 berlin gave up its status as a free hanseatic city 
what was alessandro voltas profession,physisist,physisist 
how long is an adult cougars paw print,an adult cougars paw print is approximately 10 cm 4 inches long,an adult cougars paw print is approximately 10 cm 4 inches long 
what important electrical unit was named in honor of volta,the volt,the volt 
what are poor neighborhoods called informally,cantegriles,cantegriles 
wasnt michelangelo a homosexual,it is not clear,it is not clear 
is lyre played in mordern greece,no,no 
was charlesaugustin de coulombs fathers family in montpellier,yes,yes 
was millard fillmore born on january 7 1800,yes,yes 
was ford active about vietnamese affairs,yes,yes 
