Question,Answer,Predictive Answer
when did written vietnamese become the official administrative language,vietnamese became the official administrative language by the 20th century,vietnamese became the official administrative language by the 20th century 
what happened on plants and fungi,they are food to beetles,they are food to beetles 
was watt ranked 22nd in michael h hart s list of the most influential figures in history,yes,yes 
which nation invaded singapore during world war ii,during world war ii the imperial japanese army invaded malaya culminating in the battle of singapore,during world war ii the imperial japanese army invaded malaya culminating in the battle of singapore 
what has uruguay done to be competitive in agriculture,labeling as natural or ecological,labeling as natural or ecological 
how many municipalities are within oberland,6,6 
was the pan flute used in greece,yes,yes 
how many years ago was the lima stock exchange the most profitable in the world,three,three 
does the australian black swan have white feathers on its wings,yes,yes 
how do india and latin america relate,uruguay exports architectural services to india and latin america,uruguay exports architectural services to india and latin america 
is it true that otters eat a variety of fish,yes,yes 
was fillmore one of the founders of the university of buffalo,yes,yes 
did faraday receive an extensive formal education,no,no 
where is amedeo avogadro from,italy,italy 
what is the estimated population of egypt,78 million,more than 78 million 
give an example of the many sukarno era monuments in the city,the west irian liberation statue is one of the many sukarno era monuments in the city,is 
what resembles that of the similarlysized cougar in the americas,the leopards ecological role,the leopards ecological role 
where is harvesting wild turtles legal,florida,florida 
when did he die,1908,1908 
did lincoln start his political career in 1832,yes,arable keelung 
does a classical lyre have a fingerboard,yes,yes 
is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism,yes,yes 
how many municipalities does antwerp have,none antwerp is a municipality,none antwerp is a municipality 
what contributes to frequent flooding in jakarta,jakarta lies on a plain eight meters approximately eight meters above the sea level,jakarta lies on a plain eight meters approximately eight meters above the sea level 
how are isabelline penguins different from most penguins,because they are born with brown rather than black plumage,because they are born with brown rather than black plumage 
is french descendant of the latin language,yes,yes 
what is a trumpet constructed of,brass tubing bent twice into an oblong shape,brass tubing bent twice into an oblong shape 
how many different names did chinese writings give to the panda,20,20 
how many species of otter are there,13,13 
did the us join the league of nations,no,no 
who is the head of state of ghana,john agyekum kufuor,john agyekum kufuor 
are upright pianos called vertical pianos,yes,yes 
what did cleveland die from,a heart attack,a heart attack 
in what language was his 1811 paper published,french,french 
who did newton see as the master creator,god,god 
where is the city of antwerp,antwerp is in belgium,antwerp is in belgium 
over how many languages are spoken in london,over 300 languages are spoken in london,is 
how tall were the tallest prehistoric penguins,180 meters,180 meters 
what is the official name of jakarta,daerah khusus,daerah khusus 
what percentage of the words in turkish vocabulary have turkish origins,86 of the turkish vocabulary have turkish origins,86 of the turkish vocabulary have turkish origins 
where did the expression a sitting duck come from,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what is the smallest suborder of turtles,pleurodira,pleurodira 
what was built to play in both b and a keys,piccolo trumpets,piccolo trumpets 
did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,no 
